field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"dl_dmax",35208,5,1,28,"25.218927516473528",24,35208,"0.4556168893708122","[{""value"":""25"",""count"":26304},{""value"":""26"",""count"":8262},{""value"":""24"",""count"":613},{""value"":""27"",""count"":28},{""value"":""28"",""count"":1}]"
"dl_dmean",35208,4,1,24,"22.734264939786414",21,35208,"0.4543457385941079","[{""value"":""23"",""count"":25475},{""value"":""22"",""count"":9534},{""value"":""24"",""count"":192},{""value"":""21"",""count"":7}]"
"dl_dmin",35208,4,1,24,"22.265962281299704",21,35208,"0.4623934933787795","[{""value"":""22"",""count"":25229},{""value"":""23"",""count"":9652},{""value"":""21"",""count"":314},{""value"":""24"",""count"":13}]"
"dl_dp25",35208,4,1,24,"22.752982276755283",21,35208,"0.4470003621259962","[{""value"":""23"",""count"":26043},{""value"":""22"",""count"":8922},{""value"":""24"",""count"":237},{""value"":""21"",""count"":6}]"
"dl_dp50",35208,4,1,25,"23.028431038400363",22,35208,"0.33582289922331515","[{""value"":""23"",""count"":31215},{""value"":""24"",""count"":2494},{""value"":""22"",""count"":1497},{""value"":""25"",""count"":2}]"
"dl_dp75",35208,4,1,25,"23.636077027948193",22,35208,"0.48752596632841555","[{""value"":""24"",""count"":22210},{""value"":""23"",""count"":12889},{""value"":""25"",""count"":98},{""value"":""22"",""count"":11}]"
"dl_dp95",35208,4,1,26,"24.29112701658714",23,35208,"0.4625291927888062","[{""value"":""24"",""count"":24743},{""value"":""25"",""count"":10332},{""value"":""23"",""count"":116},{""value"":""26"",""count"":17}]"
"dl_dpHi",35208,4,1,26,"24.75488525335151",23,35208,"0.4449614960772444","[{""value"":""25"",""count"":26131},{""value"":""24"",""count"":8849},{""value"":""26"",""count"":225},{""value"":""23"",""count"":3}]"
"dl_dpLo",35208,4,1,26,"24.37173369688707",23,35208,"0.4877791705173184","[{""value"":""24"",""count"":22038},{""value"":""25"",""count"":13093},{""value"":""23"",""count"":53},{""value"":""26"",""count"":24}]"
"dl_dpMi",35208,4,1,26,"24.606453078845718",23,35208,"0.49386309277901047","[{""value"":""25"",""count"":21207},{""value"":""24"",""count"":13909},{""value"":""26"",""count"":79},{""value"":""23"",""count"":13}]"
