field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"dl_jp75",40340,500,0,"1.406283","0.9998724849529004","0.603575",40340,"0.0995996357206417","[{""value"":""0.962992"",""count"":4},{""value"":""0.934045"",""count"":3},{""value"":""0.972498"",""count"":3},{""value"":""0.998802"",""count"":3},{""value"":""1.016591"",""count"":3},{""value"":""1.128838"",""count"":3},{""value"":""0.719691"",""count"":2},{""value"":""0.752156"",""count"":2},{""value"":""0.761843"",""count"":2},{""value"":""0.778388"",""count"":2},{""value"":""0.808954"",""count"":2},{""value"":""0.815415"",""count"":2},{""value"":""0.822855"",""count"":2},{""value"":""0.859532"",""count"":2},{""value"":""0.860381"",""count"":2},{""value"":""0.865296"",""count"":2},{""value"":""0.8657"",""count"":2},{""value"":""0.870974"",""count"":2},{""value"":""0.87458"",""count"":2},{""value"":""0.87875"",""count"":2},{""value"":""0.883253"",""count"":2},{""value"":""0.884605"",""count"":2},{""value"":""0.886457"",""count"":2},{""value"":""0.888884"",""count"":2},{""value"":""0.89716"",""count"":2},{""value"":""0.900369"",""count"":2},{""value"":""0.903875"",""count"":2},{""value"":""0.90452"",""count"":2},{""value"":""0.907213"",""count"":2},{""value"":""0.908533"",""count"":2},{""value"":""0.909346"",""count"":2},{""value"":""0.909715"",""count"":2},{""value"":""0.911286"",""count"":2},{""value"":""0.912201"",""count"":2},{""value"":""0.912635"",""count"":2},{""value"":""0.914961"",""count"":2},{""value"":""0.91528"",""count"":2},{""value"":""0.920055"",""count"":2},{""value"":""0.920644"",""count"":2},{""value"":""0.921246"",""count"":2},{""value"":""0.921365"",""count"":2},{""value"":""0.922568"",""count"":2},{""value"":""0.924889"",""count"":2},{""value"":""0.925189"",""count"":2},{""value"":""0.926864"",""count"":2},{""value"":""0.930682"",""count"":2},{""value"":""0.932848"",""count"":2},{""value"":""0.935838"",""count"":2},{""value"":""0.935965"",""count"":2},{""value"":""0.938632"",""count"":2},{""value"":""0.939371"",""count"":2},{""value"":""0.940348"",""count"":2},{""value"":""0.941106"",""count"":2},{""value"":""0.943017"",""count"":2},{""value"":""0.943503"",""count"":2},{""value"":""0.945731"",""count"":2},{""value"":""0.945784"",""count"":2},{""value"":""0.946479"",""count"":2},{""value"":""0.948779"",""count"":2},{""value"":""0.948796"",""count"":2},{""value"":""0.950215"",""count"":2},{""value"":""0.950443"",""count"":2},{""value"":""0.950657"",""count"":2},{""value"":""0.952973"",""count"":2},{""value"":""0.955678"",""count"":2},{""value"":""0.957682"",""count"":2},{""value"":""0.959142"",""count"":2},{""value"":""0.959417"",""count"":2},{""value"":""0.959626"",""count"":2},{""value"":""0.960313"",""count"":2},{""value"":""0.960628"",""count"":2},{""value"":""0.961978"",""count"":2},{""value"":""0.9664"",""count"":2},{""value"":""0.96762"",""count"":2},{""value"":""0.967893"",""count"":2},{""value"":""0.971841"",""count"":2},{""value"":""0.972321"",""count"":2},{""value"":""0.975162"",""count"":2},{""value"":""0.976289"",""count"":2},{""value"":""0.977068"",""count"":2},{""value"":""0.977517"",""count"":2},{""value"":""0.978191"",""count"":2},{""value"":""0.984772"",""count"":2},{""value"":""0.986054"",""count"":2},{""value"":""0.986659"",""count"":2},{""value"":""0.98708"",""count"":2},{""value"":""0.990581"",""count"":2},{""value"":""0.990952"",""count"":2},{""value"":""0.991072"",""count"":2},{""value"":""0.991129"",""count"":2},{""value"":""0.992369"",""count"":2},{""value"":""0.99387"",""count"":2},{""value"":""0.994204"",""count"":2},{""value"":""0.996284"",""count"":2},{""value"":""0.997542"",""count"":2},{""value"":""0.997593"",""count"":2},{""value"":""0.998126"",""count"":2},{""value"":""0.999846"",""count"":2},{""value"":""1.000348"",""count"":2},{""value"":""1.000399"",""count"":2}]"
"dl_jp95",40340,500,0,"2.393895","1.9995137926375812","1.615401",40340,"0.09999250272110777","[{""value"":""1.969186"",""count"":3},{""value"":""1.976965"",""count"":3},{""value"":""1.99934"",""count"":3},{""value"":""2.003924"",""count"":3},{""value"":""2.059107"",""count"":3},{""value"":""2.088662"",""count"":3},{""value"":""2.095829"",""count"":3},{""value"":""1.755175"",""count"":2},{""value"":""1.770848"",""count"":2},{""value"":""1.808265"",""count"":2},{""value"":""1.849422"",""count"":2},{""value"":""1.857587"",""count"":2},{""value"":""1.881583"",""count"":2},{""value"":""1.88231"",""count"":2},{""value"":""1.883186"",""count"":2},{""value"":""1.883881"",""count"":2},{""value"":""1.889366"",""count"":2},{""value"":""1.894534"",""count"":2},{""value"":""1.894654"",""count"":2},{""value"":""1.896196"",""count"":2},{""value"":""1.897491"",""count"":2},{""value"":""1.898617"",""count"":2},{""value"":""1.899031"",""count"":2},{""value"":""1.904375"",""count"":2},{""value"":""1.905585"",""count"":2},{""value"":""1.911727"",""count"":2},{""value"":""1.913468"",""count"":2},{""value"":""1.914594"",""count"":2},{""value"":""1.917243"",""count"":2},{""value"":""1.921115"",""count"":2},{""value"":""1.923903"",""count"":2},{""value"":""1.926623"",""count"":2},{""value"":""1.92682"",""count"":2},{""value"":""1.927998"",""count"":2},{""value"":""1.931923"",""count"":2},{""value"":""1.932108"",""count"":2},{""value"":""1.933467"",""count"":2},{""value"":""1.93574"",""count"":2},{""value"":""1.93699"",""count"":2},{""value"":""1.938532"",""count"":2},{""value"":""1.939854"",""count"":2},{""value"":""1.941864"",""count"":2},{""value"":""1.943814"",""count"":2},{""value"":""1.944476"",""count"":2},{""value"":""1.945126"",""count"":2},{""value"":""1.949072"",""count"":2},{""value"":""1.949512"",""count"":2},{""value"":""1.950172"",""count"":2},{""value"":""1.951583"",""count"":2},{""value"":""1.951987"",""count"":2},{""value"":""1.952305"",""count"":2},{""value"":""1.954006"",""count"":2},{""value"":""1.954951"",""count"":2},{""value"":""1.957042"",""count"":2},{""value"":""1.957149"",""count"":2},{""value"":""1.958343"",""count"":2},{""value"":""1.959438"",""count"":2},{""value"":""1.959571"",""count"":2},{""value"":""1.960472"",""count"":2},{""value"":""1.960768"",""count"":2},{""value"":""1.963825"",""count"":2},{""value"":""1.968183"",""count"":2},{""value"":""1.969974"",""count"":2},{""value"":""1.970005"",""count"":2},{""value"":""1.971264"",""count"":2},{""value"":""1.973014"",""count"":2},{""value"":""1.974651"",""count"":2},{""value"":""1.977153"",""count"":2},{""value"":""1.977882"",""count"":2},{""value"":""1.977887"",""count"":2},{""value"":""1.978279"",""count"":2},{""value"":""1.978363"",""count"":2},{""value"":""1.979694"",""count"":2},{""value"":""1.980725"",""count"":2},{""value"":""1.981191"",""count"":2},{""value"":""1.981288"",""count"":2},{""value"":""1.981535"",""count"":2},{""value"":""1.981705"",""count"":2},{""value"":""1.984115"",""count"":2},{""value"":""1.98904"",""count"":2},{""value"":""1.989543"",""count"":2},{""value"":""1.990059"",""count"":2},{""value"":""1.99027"",""count"":2},{""value"":""1.990355"",""count"":2},{""value"":""1.991623"",""count"":2},{""value"":""1.991766"",""count"":2},{""value"":""1.991921"",""count"":2},{""value"":""1.992209"",""count"":2},{""value"":""1.992287"",""count"":2},{""value"":""1.994536"",""count"":2},{""value"":""1.994954"",""count"":2},{""value"":""1.99747"",""count"":2},{""value"":""1.997532"",""count"":2},{""value"":""1.997863"",""count"":2},{""value"":""1.999498"",""count"":2},{""value"":""2.001473"",""count"":2},{""value"":""2.00179"",""count"":2},{""value"":""2.004864"",""count"":2},{""value"":""2.005528"",""count"":2},{""value"":""2.006208"",""count"":2}]"
"dl_jpHi",40340,500,0,"2.511859","2.0895648385225583","1.683878",40340,"0.09983031297338897","[{""value"":""1.986629"",""count"":3},{""value"":""2.044787"",""count"":3},{""value"":""2.045664"",""count"":3},{""value"":""2.057953"",""count"":3},{""value"":""2.059219"",""count"":3},{""value"":""2.061449"",""count"":3},{""value"":""2.067797"",""count"":3},{""value"":""2.069484"",""count"":3},{""value"":""2.07462"",""count"":3},{""value"":""2.083661"",""count"":3},{""value"":""2.088264"",""count"":3},{""value"":""2.089053"",""count"":3},{""value"":""2.090436"",""count"":3},{""value"":""2.099367"",""count"":3},{""value"":""2.10658"",""count"":3},{""value"":""2.112189"",""count"":3},{""value"":""2.142161"",""count"":3},{""value"":""2.184789"",""count"":3},{""value"":""2.229164"",""count"":3},{""value"":""1.863497"",""count"":2},{""value"":""1.875939"",""count"":2},{""value"":""1.87982"",""count"":2},{""value"":""1.897699"",""count"":2},{""value"":""1.919158"",""count"":2},{""value"":""1.951472"",""count"":2},{""value"":""1.955706"",""count"":2},{""value"":""1.956687"",""count"":2},{""value"":""1.972576"",""count"":2},{""value"":""1.977754"",""count"":2},{""value"":""1.97967"",""count"":2},{""value"":""1.982338"",""count"":2},{""value"":""1.983478"",""count"":2},{""value"":""1.985321"",""count"":2},{""value"":""1.986048"",""count"":2},{""value"":""1.988261"",""count"":2},{""value"":""1.98912"",""count"":2},{""value"":""1.989614"",""count"":2},{""value"":""1.989815"",""count"":2},{""value"":""1.989905"",""count"":2},{""value"":""1.990566"",""count"":2},{""value"":""1.994209"",""count"":2},{""value"":""1.994528"",""count"":2},{""value"":""1.999378"",""count"":2},{""value"":""2.002179"",""count"":2},{""value"":""2.003417"",""count"":2},{""value"":""2.004946"",""count"":2},{""value"":""2.005753"",""count"":2},{""value"":""2.005949"",""count"":2},{""value"":""2.006753"",""count"":2},{""value"":""2.007092"",""count"":2},{""value"":""2.008437"",""count"":2},{""value"":""2.010235"",""count"":2},{""value"":""2.012908"",""count"":2},{""value"":""2.014044"",""count"":2},{""value"":""2.018028"",""count"":2},{""value"":""2.028889"",""count"":2},{""value"":""2.031203"",""count"":2},{""value"":""2.031565"",""count"":2},{""value"":""2.032161"",""count"":2},{""value"":""2.032382"",""count"":2},{""value"":""2.033043"",""count"":2},{""value"":""2.035056"",""count"":2},{""value"":""2.035059"",""count"":2},{""value"":""2.036094"",""count"":2},{""value"":""2.037658"",""count"":2},{""value"":""2.040828"",""count"":2},{""value"":""2.041598"",""count"":2},{""value"":""2.043011"",""count"":2},{""value"":""2.043195"",""count"":2},{""value"":""2.043704"",""count"":2},{""value"":""2.046287"",""count"":2},{""value"":""2.046546"",""count"":2},{""value"":""2.047501"",""count"":2},{""value"":""2.048263"",""count"":2},{""value"":""2.049167"",""count"":2},{""value"":""2.049698"",""count"":2},{""value"":""2.051085"",""count"":2},{""value"":""2.053712"",""count"":2},{""value"":""2.055115"",""count"":2},{""value"":""2.05548"",""count"":2},{""value"":""2.055905"",""count"":2},{""value"":""2.058075"",""count"":2},{""value"":""2.058608"",""count"":2},{""value"":""2.061553"",""count"":2},{""value"":""2.062254"",""count"":2},{""value"":""2.062621"",""count"":2},{""value"":""2.063492"",""count"":2},{""value"":""2.068424"",""count"":2},{""value"":""2.070159"",""count"":2},{""value"":""2.070195"",""count"":2},{""value"":""2.070604"",""count"":2},{""value"":""2.072783"",""count"":2},{""value"":""2.073817"",""count"":2},{""value"":""2.074198"",""count"":2},{""value"":""2.075112"",""count"":2},{""value"":""2.075169"",""count"":2},{""value"":""2.077851"",""count"":2},{""value"":""2.081705"",""count"":2},{""value"":""2.081892"",""count"":2},{""value"":""2.082469"",""count"":2}]"
"dl_jpLo",40340,500,0,"2.438893","1.9997925834159644","1.581022",40340,"0.10011723321139392","[{""value"":""1.973742"",""count"":4},{""value"":""1.982288"",""count"":3},{""value"":""1.991214"",""count"":3},{""value"":""1.995764"",""count"":3},{""value"":""2.00247"",""count"":3},{""value"":""2.040594"",""count"":3},{""value"":""2.048328"",""count"":3},{""value"":""2.050214"",""count"":3},{""value"":""2.052632"",""count"":3},{""value"":""2.066534"",""count"":3},{""value"":""1.772288"",""count"":2},{""value"":""1.798026"",""count"":2},{""value"":""1.805514"",""count"":2},{""value"":""1.819424"",""count"":2},{""value"":""1.825924"",""count"":2},{""value"":""1.828059"",""count"":2},{""value"":""1.831725"",""count"":2},{""value"":""1.834981"",""count"":2},{""value"":""1.846964"",""count"":2},{""value"":""1.848189"",""count"":2},{""value"":""1.85099"",""count"":2},{""value"":""1.878734"",""count"":2},{""value"":""1.884262"",""count"":2},{""value"":""1.888018"",""count"":2},{""value"":""1.888129"",""count"":2},{""value"":""1.889417"",""count"":2},{""value"":""1.895137"",""count"":2},{""value"":""1.906385"",""count"":2},{""value"":""1.907972"",""count"":2},{""value"":""1.908815"",""count"":2},{""value"":""1.914857"",""count"":2},{""value"":""1.915447"",""count"":2},{""value"":""1.915706"",""count"":2},{""value"":""1.915931"",""count"":2},{""value"":""1.918954"",""count"":2},{""value"":""1.919061"",""count"":2},{""value"":""1.920063"",""count"":2},{""value"":""1.920742"",""count"":2},{""value"":""1.922601"",""count"":2},{""value"":""1.924127"",""count"":2},{""value"":""1.925005"",""count"":2},{""value"":""1.925539"",""count"":2},{""value"":""1.930327"",""count"":2},{""value"":""1.930891"",""count"":2},{""value"":""1.931192"",""count"":2},{""value"":""1.931743"",""count"":2},{""value"":""1.933085"",""count"":2},{""value"":""1.934258"",""count"":2},{""value"":""1.935783"",""count"":2},{""value"":""1.936835"",""count"":2},{""value"":""1.93791"",""count"":2},{""value"":""1.940224"",""count"":2},{""value"":""1.941666"",""count"":2},{""value"":""1.943209"",""count"":2},{""value"":""1.946677"",""count"":2},{""value"":""1.946905"",""count"":2},{""value"":""1.949171"",""count"":2},{""value"":""1.951639"",""count"":2},{""value"":""1.951976"",""count"":2},{""value"":""1.953815"",""count"":2},{""value"":""1.955961"",""count"":2},{""value"":""1.956931"",""count"":2},{""value"":""1.95976"",""count"":2},{""value"":""1.962483"",""count"":2},{""value"":""1.962586"",""count"":2},{""value"":""1.963894"",""count"":2},{""value"":""1.964253"",""count"":2},{""value"":""1.964499"",""count"":2},{""value"":""1.965133"",""count"":2},{""value"":""1.96653"",""count"":2},{""value"":""1.971704"",""count"":2},{""value"":""1.97209"",""count"":2},{""value"":""1.972114"",""count"":2},{""value"":""1.972799"",""count"":2},{""value"":""1.974613"",""count"":2},{""value"":""1.974803"",""count"":2},{""value"":""1.97566"",""count"":2},{""value"":""1.975716"",""count"":2},{""value"":""1.975904"",""count"":2},{""value"":""1.97744"",""count"":2},{""value"":""1.979336"",""count"":2},{""value"":""1.979887"",""count"":2},{""value"":""1.980556"",""count"":2},{""value"":""1.984121"",""count"":2},{""value"":""1.984204"",""count"":2},{""value"":""1.984534"",""count"":2},{""value"":""1.985286"",""count"":2},{""value"":""1.985907"",""count"":2},{""value"":""1.989343"",""count"":2},{""value"":""1.990807"",""count"":2},{""value"":""1.992148"",""count"":2},{""value"":""1.992533"",""count"":2},{""value"":""1.992989"",""count"":2},{""value"":""1.993264"",""count"":2},{""value"":""1.993311"",""count"":2},{""value"":""1.993502"",""count"":2},{""value"":""1.994196"",""count"":2},{""value"":""1.995384"",""count"":2},{""value"":""1.99626"",""count"":2},{""value"":""1.996724"",""count"":2}]"
"dl_jpMi",40340,500,0,"2.424552","2.0102918891175015","1.624382",40340,"0.10016007304351669","[{""value"":""1.948698"",""count"":5},{""value"":""1.929173"",""count"":3},{""value"":""1.98671"",""count"":3},{""value"":""1.992994"",""count"":3},{""value"":""1.993436"",""count"":3},{""value"":""1.995145"",""count"":3},{""value"":""2.012449"",""count"":3},{""value"":""2.018863"",""count"":3},{""value"":""2.035953"",""count"":3},{""value"":""2.086914"",""count"":3},{""value"":""1.792709"",""count"":2},{""value"":""1.798115"",""count"":2},{""value"":""1.810545"",""count"":2},{""value"":""1.832112"",""count"":2},{""value"":""1.889827"",""count"":2},{""value"":""1.893629"",""count"":2},{""value"":""1.893867"",""count"":2},{""value"":""1.896695"",""count"":2},{""value"":""1.897109"",""count"":2},{""value"":""1.897497"",""count"":2},{""value"":""1.898197"",""count"":2},{""value"":""1.90184"",""count"":2},{""value"":""1.90589"",""count"":2},{""value"":""1.908367"",""count"":2},{""value"":""1.909843"",""count"":2},{""value"":""1.91228"",""count"":2},{""value"":""1.913786"",""count"":2},{""value"":""1.914349"",""count"":2},{""value"":""1.916612"",""count"":2},{""value"":""1.918291"",""count"":2},{""value"":""1.918994"",""count"":2},{""value"":""1.92263"",""count"":2},{""value"":""1.922983"",""count"":2},{""value"":""1.925566"",""count"":2},{""value"":""1.926133"",""count"":2},{""value"":""1.928663"",""count"":2},{""value"":""1.929023"",""count"":2},{""value"":""1.931204"",""count"":2},{""value"":""1.934581"",""count"":2},{""value"":""1.937577"",""count"":2},{""value"":""1.937583"",""count"":2},{""value"":""1.938205"",""count"":2},{""value"":""1.940356"",""count"":2},{""value"":""1.942247"",""count"":2},{""value"":""1.942659"",""count"":2},{""value"":""1.946775"",""count"":2},{""value"":""1.950289"",""count"":2},{""value"":""1.951004"",""count"":2},{""value"":""1.95114"",""count"":2},{""value"":""1.951553"",""count"":2},{""value"":""1.953069"",""count"":2},{""value"":""1.954995"",""count"":2},{""value"":""1.955225"",""count"":2},{""value"":""1.955358"",""count"":2},{""value"":""1.956541"",""count"":2},{""value"":""1.956893"",""count"":2},{""value"":""1.957781"",""count"":2},{""value"":""1.959137"",""count"":2},{""value"":""1.959945"",""count"":2},{""value"":""1.960374"",""count"":2},{""value"":""1.960905"",""count"":2},{""value"":""1.961016"",""count"":2},{""value"":""1.962971"",""count"":2},{""value"":""1.964394"",""count"":2},{""value"":""1.964402"",""count"":2},{""value"":""1.970334"",""count"":2},{""value"":""1.970604"",""count"":2},{""value"":""1.971025"",""count"":2},{""value"":""1.971892"",""count"":2},{""value"":""1.972101"",""count"":2},{""value"":""1.974074"",""count"":2},{""value"":""1.974226"",""count"":2},{""value"":""1.974514"",""count"":2},{""value"":""1.974583"",""count"":2},{""value"":""1.976755"",""count"":2},{""value"":""1.977069"",""count"":2},{""value"":""1.977144"",""count"":2},{""value"":""1.977506"",""count"":2},{""value"":""1.982492"",""count"":2},{""value"":""1.987419"",""count"":2},{""value"":""1.987629"",""count"":2},{""value"":""1.987757"",""count"":2},{""value"":""1.990651"",""count"":2},{""value"":""1.991696"",""count"":2},{""value"":""1.993023"",""count"":2},{""value"":""1.993193"",""count"":2},{""value"":""1.993386"",""count"":2},{""value"":""1.993479"",""count"":2},{""value"":""1.995552"",""count"":2},{""value"":""1.996688"",""count"":2},{""value"":""1.997038"",""count"":2},{""value"":""1.997472"",""count"":2},{""value"":""1.999614"",""count"":2},{""value"":""1.999645"",""count"":2},{""value"":""2.000624"",""count"":2},{""value"":""2.001959"",""count"":2},{""value"":""2.002404"",""count"":2},{""value"":""2.002979"",""count"":2},{""value"":""2.004014"",""count"":2},{""value"":""2.004139"",""count"":2}]"
"dl_lastpktSeq",40340,500,0,60954079,"32837481.697322756",5005490,40340,"16087228.406264486","[{""value"":""13737273"",""count"":3},{""value"":""18105910"",""count"":3},{""value"":""22474547"",""count"":3},{""value"":""26843184"",""count"":3},{""value"":""31211821"",""count"":3},{""value"":""35480540"",""count"":3},{""value"":""35580458"",""count"":3},{""value"":""39949095"",""count"":3},{""value"":""44317732"",""count"":3},{""value"":""48686369"",""count"":3},{""value"":""53055006"",""count"":3},{""value"":""57423643"",""count"":3},{""value"":""9368636"",""count"":3},{""value"":""10001450"",""count"":2},{""value"":""10007001"",""count"":2},{""value"":""10012552"",""count"":2},{""value"":""10018103"",""count"":2},{""value"":""10023654"",""count"":2},{""value"":""10029205"",""count"":2},{""value"":""10034756"",""count"":2},{""value"":""10040307"",""count"":2},{""value"":""10045858"",""count"":2},{""value"":""10051409"",""count"":2},{""value"":""10056960"",""count"":2},{""value"":""10062511"",""count"":2},{""value"":""10068062"",""count"":2},{""value"":""10073613"",""count"":2},{""value"":""10079164"",""count"":2},{""value"":""10084715"",""count"":2},{""value"":""10090266"",""count"":2},{""value"":""10095817"",""count"":2},{""value"":""10101368"",""count"":2},{""value"":""10106919"",""count"":2},{""value"":""10112470"",""count"":2},{""value"":""10118021"",""count"":2},{""value"":""10123572"",""count"":2},{""value"":""10129123"",""count"":2},{""value"":""10134674"",""count"":2},{""value"":""10140225"",""count"":2},{""value"":""10145776"",""count"":2},{""value"":""10151327"",""count"":2},{""value"":""10156878"",""count"":2},{""value"":""10162429"",""count"":2},{""value"":""10167980"",""count"":2},{""value"":""10173531"",""count"":2},{""value"":""10179082"",""count"":2},{""value"":""10184633"",""count"":2},{""value"":""10190184"",""count"":2},{""value"":""10195735"",""count"":2},{""value"":""10201286"",""count"":2},{""value"":""10206837"",""count"":2},{""value"":""10212388"",""count"":2},{""value"":""10217939"",""count"":2},{""value"":""10223490"",""count"":2},{""value"":""10229041"",""count"":2},{""value"":""10234592"",""count"":2},{""value"":""10240143"",""count"":2},{""value"":""10245694"",""count"":2},{""value"":""10251245"",""count"":2},{""value"":""10256796"",""count"":2},{""value"":""10262347"",""count"":2},{""value"":""10267898"",""count"":2},{""value"":""10273449"",""count"":2},{""value"":""10279000"",""count"":2},{""value"":""10284551"",""count"":2},{""value"":""10290102"",""count"":2},{""value"":""10295653"",""count"":2},{""value"":""10301204"",""count"":2},{""value"":""10306755"",""count"":2},{""value"":""10312306"",""count"":2},{""value"":""10317857"",""count"":2},{""value"":""10323408"",""count"":2},{""value"":""10328959"",""count"":2},{""value"":""10334510"",""count"":2},{""value"":""10340061"",""count"":2},{""value"":""10345612"",""count"":2},{""value"":""10351163"",""count"":2},{""value"":""10356714"",""count"":2},{""value"":""10362265"",""count"":2},{""value"":""10367816"",""count"":2},{""value"":""10373367"",""count"":2},{""value"":""10378918"",""count"":2},{""value"":""10384469"",""count"":2},{""value"":""10390020"",""count"":2},{""value"":""10395571"",""count"":2},{""value"":""10401122"",""count"":2},{""value"":""10406673"",""count"":2},{""value"":""10412224"",""count"":2},{""value"":""10417775"",""count"":2},{""value"":""10423326"",""count"":2},{""value"":""10428877"",""count"":2},{""value"":""10434428"",""count"":2},{""value"":""10439979"",""count"":2},{""value"":""10445530"",""count"":2},{""value"":""10451081"",""count"":2},{""value"":""10456632"",""count"":2},{""value"":""10462183"",""count"":2},{""value"":""10467734"",""count"":2},{""value"":""10473285"",""count"":2},{""value"":""10478836"",""count"":2}]"
"dl_lostburstmax",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_lostburstmin",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_lostperc",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_lostperiods",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_lostpkts",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_misorderpkts",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_mos",40340,1,1,"4409286.0",4409286,"4409286.0",40340,0,"[{""value"":""4409286.0"",""count"":40340}]"
"dl_r",40340,1,1,"93200000.0",93200000,"93200000.0",40340,0,"[{""value"":""93200000.0"",""count"":40340}]"
"dl_rxbytes",40340,3,1,3030300,3016377,2997540,40340,"14350.217135171502","[{""value"":""3030300"",""count"":20170},{""value"":""2997540"",""count"":10085},{""value"":""3007368"",""count"":10085}]"
"dl_rxpkts",40340,3,1,5550,"5524.5",5490,40340,"26.28244896555987","[{""value"":""5550"",""count"":20170},{""value"":""5490"",""count"":10085},{""value"":""5508"",""count"":10085}]"
"dl_statStatus",40340,1,1,"1792.0",1792,"1792.0",40340,0,"[{""value"":""1792.0"",""count"":40340}]"
"dl_toolatepkts",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_tosmax",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_tosmin",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_ttlmax",40340,1,1,"250.0",250,"250.0",40340,0,"[{""value"":""250.0"",""count"":40340}]"
"dl_ttlmin",40340,1,1,"250.0",250,"250.0",40340,0,"[{""value"":""250.0"",""count"":40340}]"
"dl_vpriomax",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
"dl_vpriomin",40340,1,1,"0.0",0,"0.0",40340,0,"[{""value"":""0.0"",""count"":40340}]"
eventtype,0,0,1,,,,0,,"[]"
host,40340,1,1,,,,0,,"[{""value"":""twamp_pca"",""count"":40340}]"
index,40340,1,1,,,,0,,"[{""value"":""twamp"",""count"":40340}]"
intervalms,40340,1,1,60000,60000,60000,40340,0,"[{""value"":""60000"",""count"":40340}]"
linecount,40340,1,1,1,1,1,40340,0,"[{""value"":""1"",""count"":40340}]"
punct,40340,1,1,,,,0,,"[{""value"":"".,,-,,---,-,,----,--,...,,...,,,,,--::+,,,,.,,,,,."",""count"":40340}]"
